"";"Digital transformation ";"Organizational culture ";"Administrative efficiency ";"Strategic Dimension";"Technological Dimension";"Physical Requirements";"Human Requirements";"Shared Values";"Norms and Beliefs";"Organizational Innovations";"Organizational Structure";"Administrative Functions";"Administrative Empowerment"
"Digital transformation ";0,882768686622885;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Organizational culture ";0,864531010699288;0,898773653545726;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Administrative efficiency ";0,870011191112275;0,920618392198582;0,924225097859453;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Strategic Dimension";0,871575563834859;0,700107682591768;0,713036766167254;0,826321696086835;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Technological Dimension";0,896783782588127;0,776820898347213;0,783796634929636;0,714125207881444;0,730176400272652;NA;NA;NA;NA;NA;NA;NA;NA
"Physical Requirements";0,895359131312068;0,741738745413822;0,73020776326876;0,731163953772449;0,758650894710552;0,797950968628656;NA;NA;NA;NA;NA;NA;NA
"Human Requirements";0,866942400691389;0,822394622515935;0,832858700513841;0,657792439111793;0,68987983190299;0,683636380619648;0,720264924564719;NA;NA;NA;NA;NA;NA
"Shared Values";0,774634675498366;0,889292717316164;0,792185849360383;0,600862680737317;0,686445150937771;0,669352725512475;0,764291805039288;0,785835365259574;NA;NA;NA;NA;NA
"Norms and Beliefs";0,743515128193532;0,89518821894618;0,859990398198263;0,606332640727313;0,700268020235976;0,621616278011073;0,687814360015611;0,682650018959492;0,794674275402449;NA;NA;NA;NA
"Organizational Innovations";0,812386199526695;0,911690055069263;0,829526875236463;0,678982838937771;0,707633329457229;0,70841977095784;0,765676736438731;0,722159214822447;0,730012741069532;0,748730653579694;NA;NA;NA
"Organizational Structure";0,817920569720307;0,843533369457959;0,931084629220655;0,688047967112549;0,733086551994439;0,675916904466527;0,780843495918391;0,715697938408575;0,783328527592767;0,774314961964349;0,783294680233162;NA;NA
"Administrative Functions";0,774511410406988;0,84026819611623;0,922176879917319;0,628967322674805;0,695826935364958;0,649597874271734;0,748617799678274;0,748466772329151;0,800036766716518;0,718086841822582;0,799572090340064;0,81047942607626;NA
"Administrative Empowerment";0,818879668264511;0,868123595503036;0,919373324561322;0,659364869956384;0,743295454307757;0,698086678819389;0,779112169688624;0,732523097221153;0,800988772153074;0,805804986427697;0,782418002207442;0,761854330666716;0,7919960700069
